Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
tail-call,--dce,0.002472,0.000136,0.98x,N/A,N/A,N/A
tail-call,--loops,0.002465,0.000111,0.98x,N/A,N/A,N/A
tail-call,--lvn_--dce,0.002478,0.000122,0.97x,N/A,N/A,N/A
tail-call,--lvn_--dce_--loops,0.002454,0.000112,0.98x,N/A,N/A,N/A
up-arrow,baseline,0.002502,0.001011,baseline,N/A,N/A,N/A
up-arrow,--lvn,0.002404,0.000164,1.04x,N/A,N/A,N/A
up-arrow,--dce,0.002453,0.000163,1.02x,N/A,N/A,N/A
up-arrow,--loops,0.002408,0.000148,1.04x,N/A,N/A,N/A
up-arrow,--lvn_--dce,0.002440,0.000174,1.03x,N/A,N/A,N/A
up-arrow,--lvn_--dce_--loops,0.002430,0.000152,1.03x,N/A,N/A,N/A
mccarthy91,baseline,0.002395,0.000170,baseline,N/A,N/A,N/A
mccarthy91,--lvn,0.002401,0.000179,1.00x,N/A,N/A,N/A
mccarthy91,--dce,0.002435,0.000175,0.98x,N/A,N/A,N/A
mccarthy91,--loops,0.002404,0.000140,1.00x,N/A,N/A,N/A
mccarthy91,--lvn_--dce,0.002427,0.000162,0.99x,N/A,N/A,N/A
mccarthy91,--lvn_--dce_--loops,0.002395,0.000148,1.00x,N/A,N/A,N/A
sum-divisors,baseline,0.002410,0.000163,baseline,N/A,N/A,N/A
sum-divisors,--lvn,0.002417,0.000162,1.00x,N/A,N/A,N/A
sum-divisors,--dce,0.002400,0.000157,1.00x,N/A,N/A,N/A
sum-divisors,--loops,0.002401,0.000156,1.00x,N/A,N/A,N/A
sum-divisors,--lvn_--dce,0.002369,0.000155,1.02x,N/A,N/A,N/A
sum-divisors,--lvn_--dce_--loops,0.002451,0.000159,0.98x,N/A,N/A,N/A
permutation,baseline,0.002500,0.000692,baseline,N/A,N/A,N/A
permutation,--lvn,0.002450,0.000135,1.02x,N/A,N/A,N/A
permutation,--dce,0.002384,0.000140,1.05x,N/A,N/A,N/A
permutation,--loops,0.002439,0.000137,1.03x,N/A,N/A,N/A
permutation,--lvn_--dce,0.002429,0.000137,1.03x,N/A,N/A,N/A
permutation,--lvn_--dce_--loops,0.002445,0.000133,1.02x,N/A,N/A,N/A
combination,baseline,0.002439,0.000150,baseline,N/A,N/A,N/A
combination,--lvn,0.002475,0.000149,0.99x,N/A,N/A,N/A
combination,--dce,0.002360,0.000163,1.03x,N/A,N/A,N/A
combination,--loops,0.002476,0.000150,0.98x,N/A,N/A,N/A
combination,--lvn_--dce,0.002471,0.000156,0.99x,N/A,N/A,N/A
combination,--lvn_--dce_--loops,0.002458,0.000166,0.99x,N/A,N/A,N/A
bin-search,baseline,0.002413,0.000155,baseline,N/A,N/A,N/A
bin-search,--lvn,0.002443,0.000159,0.99x,N/A,N/A,N/A
bin-search,--dce,0.002445,0.000161,0.99x,N/A,N/A,N/A
bin-search,--loops,0.002414,0.000149,1.00x,N/A,N/A,N/A
bin-search,--lvn_--dce,0.002424,0.000151,1.00x,N/A,N/A,N/A
bin-search,--lvn_--dce_--loops,0.002453,0.000232,0.98x,N/A,N/A,N/A
ackermann,baseline,0.010121,0.002398,baseline,N/A,N/A,N/A
ackermann,--lvn,0.010014,0.000203,1.01x,N/A,N/A,N/A
ackermann,--dce,0.009903,0.000170,1.02x,N/A,N/A,N/A
ackermann,--loops,0.009959,0.000160,1.02x,N/A,N/A,N/A
ackermann,--lvn_--dce,0.009990,0.000168,1.01x,N/A,N/A,N/A
ackermann,--lvn_--dce_--loops,0.010002,0.000246,1.01x,N/A,N/A,N/A
pythagorean_triple,baseline,0.002558,0.000117,baseline,N/A,N/A,N/A
pythagorean_triple,--lvn,0.002512,0.000119,1.02x,N/A,N/A,N/A
pythagorean_triple,--dce,0.002532,0.000110,1.01x,N/A,N/A,N/A
pythagorean_triple,--loops,0.002527,0.000124,1.01x,N/A,N/A,N/A
pythagorean_triple,--lvn_--dce,0.002527,0.000137,1.01x,N/A,N/A,N/A
pythagorean_triple,--lvn_--dce_--loops,0.002513,0.000123,1.02x,N/A,N/A,N/A
gebmm,baseline,0.002432,0.000133,baseline,N/A,N/A,N/A
gebmm,--lvn,0.002426,0.000124,1.00x,N/A,N/A,N/A
gebmm,--dce,0.002437,0.000134,1.00x,N/A,N/A,N/A
gebmm,--loops,0.002405,0.000134,1.01x,N/A,N/A,N/A
gebmm,--lvn_--dce,0.002468,0.000117,0.99x,N/A,N/A,N/A
gebmm,--lvn_--dce_--loops,0.002470,0.000116,0.98x,N/A,N/A,N/A
euclid,baseline,0.002404,0.000151,baseline,N/A,N/A,N/A
euclid,--lvn,0.002508,0.001219,0.96x,N/A,N/A,N/A
euclid,--dce,0.002411,0.000156,1.00x,N/A,N/A,N/A
euclid,--loops,0.002514,0.000279,0.96x,N/A,N/A,N/A
euclid,--lvn_--dce,0.002507,0.000168,0.96x,N/A,N/A,N/A
euclid,--lvn_--dce_--loops,0.002407,0.000163,1.00x,N/A,N/A,N/A
bbs,baseline,0.002426,0.000160,baseline,N/A,N/A,N/A
bbs,--lvn,0.002447,0.000160,0.99x,N/A,N/A,N/A
bbs,--dce,0.002448,0.000160,0.99x,N/A,N/A,N/A
bbs,--loops,0.002436,0.000146,1.00x,N/A,N/A,N/A
bbs,--lvn_--dce,0.002467,0.000157,0.98x,N/A,N/A,N/A
bbs,--lvn_--dce_--loops,0.002399,0.000161,1.01x,N/A,N/A,N/A
sum-of-cubes,baseline,0.002382,0.000160,baseline,N/A,N/A,N/A
sum-of-cubes,--lvn,0.002398,0.000164,0.99x,N/A,N/A,N/A
sum-of-cubes,--dce,0.002396,0.000204,0.99x,N/A,N/A,N/A
sum-of-cubes,--loops,0.002348,0.000153,1.01x,N/A,N/A,N/A
sum-of-cubes,--lvn_--dce,0.002352,0.000159,1.01x,N/A,N/A,N/A
sum-of-cubes,--lvn_--dce_--loops,0.002358,0.000147,1.01x,N/A,N/A,N/A
binary-fmt,baseline,0.002353,0.000162,baseline,N/A,N/A,N/A
binary-fmt,--lvn,0.002388,0.000155,0.99x,N/A,N/A,N/A
binary-fmt,--dce,0.002368,0.000160,0.99x,N/A,N/A,N/A
binary-fmt,--loops,0.002362,0.000158,1.00x,N/A,N/A,N/A
binary-fmt,--lvn_--dce,0.002439,0.000151,0.96x,N/A,N/A,N/A
binary-fmt,--lvn_--dce_--loops,0.002404,0.000194,0.98x,N/A,N/A,N/A
dayofweek,baseline,0.002675,0.001075,baseline,N/A,N/A,N/A
dayofweek,--lvn,0.002625,0.000109,1.02x,N/A,N/A,N/A
dayofweek,--dce,0.002580,0.000114,1.04x,N/A,N/A,N/A
dayofweek,--loops,0.002590,0.000124,1.03x,N/A,N/A,N/A
dayofweek,--lvn_--dce,0.002585,0.000116,1.03x,N/A,N/A,N/A
dayofweek,--lvn_--dce_--loops,0.002562,0.000104,1.04x,N/A,N/A,N/A
lcm,baseline,0.002396,0.000173,baseline,N/A,N/A,N/A
lcm,--lvn,0.002457,0.000158,0.98x,N/A,N/A,N/A
lcm,--dce,0.002430,0.000173,0.99x,N/A,N/A,N/A
lcm,--loops,0.002469,0.000147,0.97x,N/A,N/A,N/A
lcm,--lvn_--dce,0.002455,0.000161,0.98x,N/A,N/A,N/A
lcm,--lvn_--dce_--loops,0.002460,0.000169,0.97x,N/A,N/A,N/A
gcd,baseline,0.002355,0.000159,baseline,N/A,N/A,N/A
gcd,--lvn,0.002442,0.000147,0.96x,N/A,N/A,N/A
gcd,--dce,0.002442,0.000163,0.96x,N/A,N/A,N/A
